netto_beschikbaar_maandinkomen,A ziekte | Werknemer (maand 2),A ziekte | Eenmanszaak,A ziekte | Venn. 100% loon,A ziekte | Venn. 75% loon,A ziekte | Venn. 50% loon,A ziekte | Venn. 0% loon,B werkloosheid | Werknemer (maand 1-3),B werkloosheid | Eenmanszaak,B werkloosheid | Venn. 100% loon,B werkloosheid | Venn. 75% loon,B werkloosheid | Venn. 50% loon,B werkloosheid | Venn. 0% loon,C pensioen | Werknemer,C pensioen | Eenmanszaak,C pensioen | Venn. 100% loon,C pensioen | Venn. 75% loon,C pensioen | Venn. 50% loon,C pensioen | Venn. 0% loon
1550,0,0.218085,0.260543,0.204375,0.204375,0.204375,0,0.217731,0.26012,0.204043,0.204043,0.204043,0,0.208687,0.249316,0.195568,0.195568,0.195568
1800,0,0.275651,0.315394,0.215186,0.204375,0.204375,0,0.275204,0.314882,0.214837,0.204043,0.204043,0,0.263773,0.301802,0.205913,0.195568,0.195568
2000,0.00115329,0.325277,0.36286,0.252105,0.204375,0.204375,0.00106846,0.324749,0.362272,0.251695,0.204043,0.204043,0.00089728,0.31126,0.347224,0.241241,0.195568,0.195568
2250,0.101347,0.388799,0.42615,0.289023,0.204375,0.204375,0.100769,0.388168,0.425458,0.288554,0.204043,0.204043,0.104732,0.371417,0.397439,0.276568,0.195568,0.195568
2500,0.26106,0.454305,0.484165,0.331216,0.204375,0.204375,0.27732,0.453568,0.483379,0.330678,0.204043,0.204043,0.275033,0.405851,0.427214,0.316943,0.195568,0.195568
2750,0.28022,0.517827,0.547454,0.378683,0.22257,0.204375,0.321575,0.516987,0.546565,0.378068,0.222208,0.204043,0.295392,0.428147,0.447613,0.362364,0.212978,0.195568
3000,0.310204,0.589289,0.610743,0.42615,0.24894,0.204375,0.367103,0.588333,0.609752,0.425458,0.248536,0.204043,0.31312,0.452786,0.468627,0.397439,0.238213,0.195568
3250,0.347759,0.660751,0.679306,0.468342,0.27742,0.204375,0.411547,0.659678,0.678204,0.467582,0.27697,0.204043,0.33084,0.474664,0.488656,0.421598,0.265465,0.195568
3500,0.388205,0.732212,0.747869,0.515809,0.3059,0.204375,0.459411,0.731024,0.746656,0.514972,0.305404,0.204043,0.345888,0.498723,0.511294,0.437802,0.292718,0.195568
3750,0.42641,0.803674,0.811158,0.563276,0.333326,0.204375,0.504624,0.80237,0.809842,0.562362,0.332785,0.204043,0.361693,0.517814,0.527939,0.453121,0.318962,0.195568
